image_idx,f1_base,f1_crf,precision_base,precision_crf,recall_base,recall_crf
0,0.8927646070693083,0.8978579069164758,0.823905109489051,0.8308480894687791,0.9992617639633712,0.9993057521209943
1,0.9663974144164862,0.9643956477698491,0.9379471029775143,0.9347612724309187,0.9988480387410763,0.9984176921562553
2,0.7898012649134809,0.7953866987734955,0.7055717407137655,0.7111069558713538,0.9969024768691455,0.9970403999770128
3,0.9611097578429728,0.9620043866951612,0.9288407163053722,0.9303617876566564,0.9988317395475506,0.998860752638257
4,0.9727259938981809,0.9745846894557261,0.949150602719381,0.9525584480744047,0.9990128178384996,0.998949263112413
5,0.9672597278646362,0.9656127240580307,0.9395048439181917,0.936840474907287,0.9989111101638759,0.9986119414722237
6,0.9703119342120974,0.9698071901449914,0.9457062280321613,0.9450253893210316,0.9980310848255741,0.9977541305970982
7,0.968304963188946,0.9689671483005748,0.9413945101182128,0.9425472077139414,0.9988651266014325,0.9988903460102896
8,0.9690362821795115,0.9682247685413723,0.9437257767053215,0.9423367403743605,0.9976935331799268,0.997632360479527
9,0.9731386885957474,0.9726330504578484,0.9507252340294208,0.9498459958932238,0.9981095662263548,0.9980720732809485
10,0.950413016945954,0.9514213982843909,0.9173292214866402,0.9188336997330574,0.9909998429677365,0.9912374605455991
11,0.9474708975284468,0.9482978372062092,0.9131191963726046,0.914498457845569,0.990071075190007,0.9900259204411828
12,0.9414367946464854,0.941686126962237,0.9050908371525603,0.9054517853607023,0.9878836731601367,0.9879404980384894
13,0.9767467629219774,0.9762489260652645,0.9576440543789145,0.9569143355046283,0.997706997765449,0.9974911046064002
14,0.9743940465755172,0.9740070548361044,0.9528546370348849,0.9524852460271815,0.9982489124174476,0.9978424935518927
15,0.973970930774163,0.9718689578992351,0.9520080199331823,0.9482839957542163,0.9983490277499221,0.998277298049045
16,0.9659452555349486,0.9649326654753787,0.9369275355345192,0.9360615091268384,0.999178163574798,0.9979839512415486
17,0.9539619296737952,0.9551336607091221,0.9165328842052215,0.9186516774023715,0.9989512727861796,0.9987389650049783
18,0.9428605081984629,0.9424203094012327,0.9061833681042883,0.905566713069508,0.9886926263141226,0.9885427588952127
19,0.8445060906954209,0.8428819407899568,0.7656481481481481,0.7637918352335418,0.9951190820557323,0.9950458007906663
20,0.9648532765412594,0.9637882752132156,0.9369572478289914,0.9351767151767152,0.997000135093254,0.9969027884836974
21,0.9592309404251291,0.957510997929464,0.9276374928495547,0.9248254586783569,0.9964816153974523,0.9963206954918586
22,0.9145662015852085,0.9148436609724484,0.8690771365332445,0.8701009915937684,0.974090671766225,0.9730804529039108
23,0.9416275863147506,0.9427153810527384,0.8981947314976768,0.900009617608049,0.996477643048449,0.9963737668272941
24,0.8376214274251814,0.8377814025602568,0.8086839520196768,0.8088197356384239,0.9189209734095325,0.9189968343247603
25,0.9275586340780992,0.9307689835426336,0.8775340422724996,0.8823298203345855,0.9946855525475835,0.9948945417952039
26,0.9398583876192503,0.9398271643324431,0.9492937507120964,0.9492683278019596,0.9372827182050034,0.9372508886859283
27,0.7854458280304292,0.7854919621705345,0.8399853522982919,0.8398356855927945,0.8067565754687602,0.8067577744452281
28,0.8975803348704399,0.899839894512138,0.8575973037616873,0.8601982130986645,0.9625678094742498,0.9634703903524383
29,0.9612114782512238,0.9606042847576003,0.930225080385852,0.9292130025662959,0.9974381778400416,0.9973948905224386
30,0.9352490658192643,0.9362426462831615,0.8885709056718241,0.8902678960796939,0.9950323482010263,0.9948388305863215
31,0.9452394093435159,0.9465828809292036,0.9036685041273123,0.9060810323298971,0.9969165528828638,0.9965798874586325
32,0.8172733601996411,0.8186091237944473,0.7370801033591732,0.7384806238185255,0.9913272402530733,0.9914240993076515
33,0.9579328736422921,0.9573031270448836,0.9272265728609939,0.9263044727351952,0.9942921412231931,0.9940843037755243
34,0.9737060469392453,0.9759137566721838,0.966407271859242,0.9691061634685603,0.9824821100462315,0.98396092554956
35,0.9741290900891242,0.9758683975640011,0.9669167568323644,0.9690385061071517,0.9827743907339453,0.9839477247545865
36,0.9093801229036365,0.9088013097080696,0.8564840874648192,0.8557504877721633,0.9865087635034476,0.9863240482216921
37,0.907468893041592,0.9071662323665792,0.8540047616127795,0.8536161093340364,0.9860333411959887,0.9859520959875029
38,0.9143491725867293,0.9151971541951918,0.8679955147688041,0.8691064610649066,0.9811405468756587,0.98135555349449
39,0.9741134998075678,0.974151268368562,0.9583895012834727,0.9585039526568613,0.9916925419362924,0.9916340021536951
40,0.9295845065674146,0.9321296787600644,0.8839246292142511,0.8875531199034321,0.9885023124020804,0.9891542590722647
41,0.9375428571895994,0.9395787560064879,0.9199230652343624,0.9246693312148571,0.9567950272564998,0.9556341744622897
42,0.9728961646537855,0.9711197840202905,0.9511552814801892,0.9475393510845567,0.9969619342019629,0.9974728575234658
43,0.9147061222352176,0.9193133573265472,0.8555449025247683,0.8622598502116574,0.9982609966951242,0.9983725699160123
44,0.9699587578305869,0.9698426039377707,0.9447397923173001,0.9450196036054214,0.9983806854821355,0.9977633019226357
45,0.8435054174864567,0.8458554488763977,0.7881433850842345,0.7905797063247108,0.9569960147259737,0.9575467045588232
46,0.9480320685720512,0.9464988486439262,0.9070553236947172,0.905057536446104,0.9984597968396643,0.9976741793637375
47,0.9135510955899431,0.9157695987396013,0.8530864197530864,0.856312292358804,0.9993168405502018,0.9993378902811478
48,0.9585979464347961,0.9599463236181698,0.9325591254199275,0.9346007946764736,0.9896139954697458,0.9899584809739668
49,0.9613840132171265,0.9615125631585968,0.9361492297702887,0.9363683025474607,0.9910486811897028,0.9910499291813022
50,0.9616387210801094,0.9614521517450796,0.9473756936577088,0.9471694460806652,0.9790308365056476,0.9788765782159159
51,0.9396954225288245,0.9427173380502627,0.8986940102800798,0.9032412073630046,0.9921782936004957,0.9926136202574705
52,0.8854610837432662,0.8848116144539138,0.8192495762010346,0.8184426894871933,0.9913629616879522,0.9912388568506076
53,0.9088378873981122,0.9099416376288028,0.8501792809380754,0.8517130620985011,0.9939352808953503,0.9940235449185422
54,0.9093641312053694,0.9126233754312573,0.8495390617651313,0.854190006037895,0.9958199916659116,0.9958962287403258
55,0.9624997244269049,0.9642017907430492,0.9339015621253494,0.9367244035766709,0.9957008128552847,0.9958807811808593
56,0.942162857531006,0.9441980741883804,0.9021004883985048,0.9042853885837312,0.9919219119777924,0.9936688049903752
57,0.9288332149678149,0.9297382527005313,0.8778863713714322,0.8793080145391211,0.996691945236551,0.996633792484143
58,0.9779922609229432,0.9760048663508165,0.9583455130078924,0.9547563805104409,0.999449823943662,0.9993977020014826
59,0.9622995447030789,0.9668633010000295,0.9323432508148264,0.9405609836746044,0.9971186959539654,0.9967957633144295
60,0.9665050711369659,0.9702247923272198,0.9412741394372183,0.9479979756479067,0.9950599167413445,0.9949662776715281
61,0.972955553600023,0.9735952242357321,0.9510572624890519,0.9527658495349404,0.9972864714664781,0.9966097172498973
62,0.9741198112764973,0.9731432369487291,0.9526404275945186,0.9509797710918986,0.9979278238103249,0.9978009659401694
63,0.9356799770849067,0.936162265764446,0.8915945679255819,0.8922706170723256,0.9926386737491837,0.9927770203681305
64,0.8977952631036247,0.9017836874687828,0.8379381707574836,0.8432059929821344,0.9888185451356167,0.9893559258412935
